model,model_display,eval_type,mode,accuracy,macro_f1_with_o,macro_f1_without_o,f1_PER,f1_LOC,f1_ADR,f1_COURT,f1_INST,f1_COM,f1_OTHORG,f1_LAW,f1_REF,f1_IDPER,f1_IDCOM,f1_IDTAX,f1_NUMACC,f1_NUMDOC,f1_NUMCAR,f1_NUMPLOT,f1_IDOTH,f1_CONTACT,f1_DATE,f1_MONEY,f1_MISC,f1_O,f1_B-PER,f1_I-PER,f1_B-LOC,f1_I-LOC,f1_B-ADR,f1_I-ADR,f1_B-COURT,f1_I-COURT,f1_B-INST,f1_I-INST,f1_B-COM,f1_I-COM,f1_B-OTHORG,f1_I-OTHORG,f1_B-LAW,f1_I-LAW,f1_B-REF,f1_I-REF,f1_B-IDPER,f1_I-IDPER,f1_B-IDCOM,f1_I-IDCOM,f1_B-IDTAX,f1_I-IDTAX,f1_B-NUMACC,f1_I-NUMACC,f1_B-NUMDOC,f1_I-NUMDOC,f1_B-NUMCAR,f1_I-NUMCAR,f1_B-NUMPLOT,f1_I-NUMPLOT,f1_B-IDOTH,f1_I-IDOTH,f1_B-CONTACT,f1_I-CONTACT,f1_B-DATE,f1_I-DATE,f1_B-MONEY,f1_I-MONEY,f1_B-MISC,f1_I-MISC
BERTić,BERTić-COMtext-SR-legal-NER-ijekavica,default,cv,0.9825398449664602,0.6269173797648437,0.8229082197757922,0.9808781674228759,,0.8498824950437854,0.9453439419452491,0.7482479089880935,0.5131264896864488,,0.872505299120111,0.6185742408130097,0.5761183261183261,0.5716319312871037,0.16666666666666666,0.0,0.0,0.0,0.4861519607843137,0.0,0.0,0.8927734066622437,0.8237065411994728,0.029411764705882353,0.9943391253172285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERTić,BERTić-COMtext-SR-legal-NER-ijekavica,strict,cv,0.9825398449664602,0.6652280147426544,0.6436775024504309,,,,,,,,,,,,,,,,,,,,,,0.9943391253172285,0.9780390425395099,0.9794188329234791,,,0.7827314824468524,0.9251751644049759,0.9590967661428367,0.9431502671827103,0.8131228260308309,0.7254607933506065,0.6335466197205587,0.8553306809754947,,,0.8343415944411513,0.9538864992691796,0.7463596976005145,0.854200842838038,0.5761183261183261,,0.5716319312871037,,0.16666666666666666,,0.0,,0.0,,0.0,0.0,0.4861519607843137,,0.0,,0.0,,0.9202865985527361,0.9548515833605232,0.8482034041740104,0.972478408325427,0.0,0.06371124031007752
SrBERTa,SrBERTa,default,cv,0.9742498654867549,0.6543904522051773,0.7528023420526537,0.9137371221391916,,0.5854430637646924,0.8006971677559913,0.6152117198858336,0.35830887363313485,,0.7880199375688626,0.4762212539336722,1.0,0.9377289377289376,1.0,0.7333333333333333,0.0,0.2,0.624123495552067,0.2857142857142857,0.3333333333333333,0.8550240297823944,0.8238165997381047,0.0,0.9905613110834375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrBERTa,SrBERTa,strict,cv,0.9742498654867549,0.7197331064344373,0.7101701350710707,,,,,,,,,,,,,,,,,,,,,,0.9905613110834375,0.9188478081136144,0.9546321313476892,,,0.8056807588608355,0.8354336597931254,0.8935433393766729,0.8611847527270948,0.7211372310612361,0.6748245189073558,0.4981033336579838,0.5710842365938914,,,0.8947432695976987,0.9325636727250272,0.6458401385469055,0.8084186110881512,1.0,,0.9377289377289376,,1.0,,0.7333333333333333,,0.0,,0.2,0.0,0.624123495552067,,0.2857142857142857,,0.3333333333333333,,0.9104710743220347,0.9537178496070674,0.8662152642709082,0.9550905829592954,0.044444444444444446,0.03319783197831978
mmBert-base,mmBERT-base,default,cv,0.9827880981051754,0.721192909007309,0.8240656176832427,0.9847636223622247,,0.804779264871471,0.9037314273951395,0.6992506400841282,0.4552333004841965,,0.8805361819881234,0.5713820018365472,1.0,0.7758103241296518,1.0,0.875,0.7037037037037037,0.4,0.4714164735661706,0.4317460317460317,0.3333333333333333,0.8780785041104268,0.8347679582485797,0.05416666666666667,0.9942629565085854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmBert-base,mmBERT-base,strict,cv,0.9827880981051754,0.773770377111658,0.7660170119450032,,,,,,,,,,,,,,,,,,,,,,0.9942629565085854,0.9795534156683412,0.9816902438484765,,,0.9360719070905829,0.9128076458094248,0.9176205157940317,0.904586641602113,0.7877075925489126,0.7931626782801947,0.5544637267422934,0.7238344336625528,,,0.9366711353314108,0.961344423517317,0.685597259385716,0.8419276885344193,1.0,,0.7758103241296518,,1.0,,0.875,,0.7037037037037037,,0.5333333333333333,0.0,0.4714164735661706,,0.4317460317460317,,0.3333333333333333,,0.917329257859061,0.96031326155429,0.8767259963170365,0.9473615466701997,0.06547619047619048,0.10150793650793652
XLM-R-Bertic,XLM-R-Bertic,default,cv,0.9861453896680695,0.8074201393527041,0.860260789411187,0.9831734082113984,,0.7380744523166922,0.9441728141835581,0.7830719026412616,0.6320893799967143,,0.872250505540414,0.7065859410868827,1.0,0.9047619047619047,0.925925925925926,0.8,0.5555555555555555,0.7333333333333334,0.7763199878106711,0.5271164021164021,0.9333333333333332,0.9297952371849821,0.9674177987291295,0.23561507936507936,0.9952077170420226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLM-R-Bertic,XLM-R-Bertic,strict,cv,0.9861453896680695,0.8517704738191145,0.8465348431212238,,,,,,,,,,,,,,,,,,,,,,0.9952077170420226,0.9835636993879986,0.9844371957966762,,,0.8046390684633579,0.9245871645688379,0.9623214938283431,0.943926760602401,0.8642909102529697,0.8486598181770556,0.7439692651159989,0.8104740444707481,,,0.9529066571998618,0.9642156059180179,0.8227248085797066,0.8728533041443819,1.0,,0.9047619047619047,,0.925925925925926,,0.8,,0.5555555555555555,,0.7333333333333334,0.5,0.7763199878106711,,0.5271164021164021,,0.9333333333333332,,0.9502421544325207,0.9743656882623495,0.9874879457592382,0.9790288695799299,0.2875,0.25416666666666665
Jerteh-355,Jerteh-355,default,cv,0.9835386950130485,0.7164143109701329,0.8092826803611493,0.977124370245591,,0.7985771314271811,0.8613317636999153,0.7679019036113897,0.5063101520103603,,0.8496686921718732,0.5896294012068408,0.9705882352941176,0.8980952380952382,0.6984126984126983,0.7333333333333333,0.41666666666666663,0.325,0.5814277541680288,0.34841269841269845,0.4666666666666666,0.872830144945271,0.9557026815009411,0.05952380952380953,0.9943668664343797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerteh-355,Jerteh-355,strict,cv,0.9835386950130485,0.7876766792550651,0.7802863121789082,,,,,,,,,,,,,,,,,,,,,,0.9943668664343797,0.9743491778543986,0.9803977696611444,,,0.8976107319272787,0.9187522252438719,0.9420835243489536,0.8643409405314167,0.8570318913123394,0.8004227576517303,0.6040812142235362,0.7998679162905317,,,0.9393870098671661,0.958671845218214,0.7438553099198628,0.839769866263484,0.9705882352941176,,0.8980952380952382,,0.6984126984126983,,0.7333333333333333,,0.41666666666666663,,0.325,0.25,0.5814277541680288,,0.34841269841269845,,0.4666666666666666,,0.9242408725674447,0.9488979938443869,0.9817884893611714,0.9708842408705045,0.17543859649122806,0.1259157509157509
